Date,Date,Date,Date,Joe Biden,Donald Trump
0,0,0,2021-04-22,32.28064072310799,43.5078024382528
1,1,1,2021-04-23,32.28064072310799,43.5078024382528
2,2,2,2021-04-24,32.28064072310799,43.5078024382528
3,3,3,2021-04-25,32.28064072310799,43.5078024382528
4,4,4,2021-04-26,32.28064072310799,43.5078024382528
5,5,5,2021-04-27,32.28064072310799,43.5078024382528
6,6,6,2021-04-28,32.28064072310799,43.507802438252796
7,7,7,2021-04-29,32.28064072310799,43.5078024382528
8,8,8,2021-04-30,32.280640723108,43.50780243825281
9,9,9,2021-05-01,32.280640723107986,43.507802438252796
10,10,10,2021-05-02,32.28064072310799,43.507802438252796
11,11,11,2021-05-03,32.280640723108,43.507802438252796
12,12,12,2021-05-04,32.280640723108,43.5078024382528
13,13,13,2021-05-05,32.28064072310799,43.5078024382528
14,14,14,2021-05-06,32.28064072310799,43.50780243825281
15,15,15,2021-05-07,32.28064072310799,43.50780243825281
16,16,16,2021-05-08,32.28064072310799,43.5078024382528
17,17,17,2021-05-09,32.280640723107986,43.5078024382528
18,18,18,2021-05-10,32.28064072310799,43.5078024382528
19,19,19,2021-05-11,32.28064072310799,43.50780243825281
20,20,20,2021-05-12,32.28064072310799,43.50780243825281
21,21,21,2021-05-13,32.28064072310799,43.50780243825281
22,22,22,2021-05-14,32.280640723107986,43.50780243825281
23,23,23,2021-05-15,32.393625870684566,43.75829261571369
24,24,24,2021-05-16,32.495733898854766,43.984668016774286
25,25,25,2021-05-17,32.58829415149316,44.18987582157449
26,26,26,2021-05-18,32.67243194351034,44.3764108742394
27,27,27,2021-05-19,32.74910629667937,44.54639934390968
28,28,28,2021-05-20,32.81913958948279,44.70166445900464
29,29,29,2021-05-21,32.88324107292072,44.843778642207276
30,30,30,2021-05-22,32.94202568369602,44.974105219646084
31,31,31,2021-05-23,32.99602921678645,45.093832058770396
32,32,32,2021-05-24,33.045720653903594,45.20399890077345
33,33,33,2021-05-25,33.09151225123906,45.30551972531374
34,34,34,2021-05-26,33.13376784791384,45.399201170501975
35,35,35,2021-05-27,33.17280975107208,45.48575779728242
36,36,36,2021-05-28,33.162545313359786,45.59938794937355
37,37,37,2021-05-29,33.15304020554697,45.70461211037352
38,38,38,2021-05-30,33.14422945671525,45.80214952624055
39,39,39,2021-05-31,33.13605477647409,45.89264548764978
40,40,40,2021-06-01,33.12846372634612,45.976680502986255
41,41,41,2021-06-02,33.121409012105175,46.05477813235748
42,42,42,2021-06-03,33.114847876902246,46.12741170585619
43,43,43,2021-06-04,33.1087415787678,46.19501010775409
44,44,44,2021-06-05,33.10305493906424,46.25796277525664
45,45,45,2021-06-06,33.097755950850996,46.316624034010204
46,46,46,2021-06-07,33.1380684757174,46.5149132181576
47,47,47,2021-06-08,33.17567338510981,46.69988418755423
48,48,48,2021-06-09,33.21076953018886,46.872515050977135
49,49,49,2021-06-10,33.24353908757388,47.03370189849616
50,50,50,2021-06-11,33.27414920586175,47.18426690036774
51,51,51,2021-06-12,33.30275346041308,47.32496546283506
52,52,52,2021-06-13,33.329493142168964,47.456492567557646
53,53,53,2021-06-14,33.35449840236722,47.57948840224022
54,54,54,2021-06-15,33.377889271783324,47.69454337407319
55,55,55,2021-06-16,33.39977657040799,47.802202584253166
56,56,56,2021-06-17,33.42026272119728,47.902969830655955
57,57,57,2021-06-18,33.43944247961492,47.997311196307976
58,58,58,2021-06-19,33.45740358906781,48.085658273341735
59,59,59,2021-06-20,33.47422737096495,48.16841106537629
60,60,60,2021-06-21,33.48998925696445,48.245940605533484
61,61,61,2021-06-22,33.50475926998119,48.31859132241719
62,62,62,2021-06-23,33.518602459678746,48.38668318221073
63,63,63,2021-06-24,33.53157929744306,48.45051363147254
64,64,64,2021-06-25,33.54374603521055,48.51035936213927
65,65,65,2021-06-26,33.53890934002764,48.42594607974129
66,66,66,2021-06-27,33.534373206528755,48.34677840355845
67,67,67,2021-06-28,33.53011837105768,48.272520131206356
68,68,68,2021-06-29,33.52612687376791,48.20285781527152
69,69,69,2021-06-30,33.52238196228987,48.13749908204652
70,70,70,2021-07-01,33.518868003441625,48.07617109064451
71,71,71,2021-07-02,33.51557040220909,48.018619118988155
