Date,Joe Biden,Donald Trump
2021-04-22,36.22025122126732,40.37747443472663
2021-04-23,36.22025122126732,40.37747443472663
2021-04-24,36.22025122126732,40.37747443472663
2021-04-25,36.22025122126732,40.37747443472663
2021-04-26,36.22025122126732,40.377474434726636
2021-04-27,36.22025122126732,40.37747443472662
2021-04-28,36.22025122126732,40.37747443472663
2021-04-29,36.22025122126732,40.377474434726636
2021-04-30,36.22025122126732,40.377474434726636
2021-05-01,36.22025122126732,40.37747443472663
2021-05-02,36.22025122126731,40.37747443472662
2021-05-03,36.22025122126732,40.37747443472663
2021-05-04,36.220251221267326,40.37747443472663
2021-05-05,36.22025122126732,40.37747443472663
2021-05-06,36.22025122126732,40.377474434726636
2021-05-07,36.220251221267326,40.377474434726636
2021-05-08,36.22025122126732,40.37747443472663
2021-05-09,36.22025122126731,40.37747443472663
2021-05-10,36.22025122126732,40.37747443472663
2021-05-11,36.220251221267326,40.37747443472663
2021-05-12,36.220251221267326,40.37747443472663
2021-05-13,36.22025122126732,40.377474434726636
2021-05-14,36.22025122126731,40.377474434726636
2021-05-15,36.347025360126516,40.60994218004499
2021-05-16,36.461594908598514,40.8200301747661
2021-05-17,36.565451447024245,41.01047355337355
2021-05-18,36.659857626573306,41.18358765930542
2021-05-19,36.745889510445515,41.34134568668569
2021-05-20,36.82446984225957,41.48543968509551
2021-05-21,36.89639443178965,41.61732894351576
2021-05-22,36.96235326415885,41.73827869858945
2021-05-23,37.02294752411019,41.84939135229688
2021-05-24,37.078703429061605,41.95163183784762
2021-05-25,37.13008354798615,42.04584837529019
2021-05-26,37.17749612384525,42.13278956620566
2021-05-27,37.22130279895674,42.21311855983717
2021-05-28,37.2097856634769,42.318573174962474
2021-05-29,37.19912052842527,42.416226598775864
2021-05-30,37.18923449366933,42.50674632845399
2021-05-31,37.18006215491286,42.59073122687384
2021-06-01,37.17154467395494,42.6687200356211
2021-06-02,37.163628984663234,42.741198645356086
2021-06-03,37.156267112035465,42.80860633070653
2021-06-04,37.149415585934754,42.87134111829631
2021-06-05,37.14303493443424,42.92976442584646
2021-06-06,37.13708924438586,42.98420508574861
2021-06-07,37.18232161107118,43.168227629175334
2021-06-08,37.22451591808726,43.339890185531246
2021-06-09,37.26389528488995,43.50010048997942
2021-06-10,37.30066412139094,43.64969016011159
2021-06-11,37.33500997542182,43.78942221213747
2021-06-12,37.367105165066086,43.919997701834745
2021-06-13,37.397108224766235,44.042061607865094
2021-06-14,37.42516518974418,44.156208057286946
2021-06-15,37.451410739632806,44.26298497828559
2021-06-16,37.475969219172924,44.362898252758
2021-06-17,37.4989555512755,44.45641543099886
2021-06-18,37.52047605559909,44.54396906198626
2021-06-19,37.540629183976456,44.62595968537792
2021-06-20,37.559506182485656,44.70275852506926
2021-06-21,37.57719168865389,44.774709918846874
2021-06-22,37.593764271168475,44.84213351413875
2021-06-23,37.6092969185174,44.905326255990715
2021-06-24,37.62385748216645,44.96456419008043
2021-06-25,37.637509079179715,45.02010410073102
2021-06-26,37.6320821015646,44.94176424072974
2021-06-27,37.62699236693659,44.86829257261536
2021-06-28,37.62221826065446,44.7993770833139
2021-06-29,37.6177396310069,44.73472687753266
2021-06-30,37.6135376811231,44.674070617460124
2021-07-01,37.60959486990827,44.617155092745186
2021-07-02,37.605894821136175,44.56374390822211
2021-07-03,37.60242223992576,44.51361627822961
2021-07-04,37.59916283591339,44.46656591758225
2021-07-05,37.59610325250581,44.422400020316715
2021-07-06,37.593231001663284,44.38093831826987
2021-07-07,37.59053440371996,44.342012212370456
2021-07-08,37.58800253179889,44.30546397025402
2021-07-09,37.58562516042337,44.271145984454485
2021-07-10,37.54339247049488,44.55593386755005
2021-07-11,37.503731966262855,44.82337671956506
2021-07-12,37.466484874920376,45.07454519386438
2021-07-13,37.43150247165736,45.31044218711153
2021-07-14,37.39864541491966,45.532007321819364
2021-07-15,37.36778312897044,45.740121109926534
2021-07-16,37.3387932300136,45.935608822621354
2021-07-17,37.31156099247543,46.119244089368145
2021-07-18,37.285978852341785,46.29175224705484
2021-07-19,37.26194594472034,46.45381345835186
2021-07-20,37.239367673041265,46.60606561672312
2021-07-21,37.218155307530225,46.749107054045034
2021-07-22,37.198225610786494,46.88349906544657
2021-07-23,37.17950048847933,47.00976826477037
2021-07-24,37.1619066633383,47.128408782955496
2021-07-25,37.145375370761194,47.23988432064544
2021-07-26,37.12984207449754,47.344630065420695
2021-07-27,37.11524620098777,47.443054483231094
2021-07-28,37.10153089104882,47.53554099285498
2021-07-29,37.08864276769878,47.6224495315284
2021-07-30,37.07653171900525,47.7041180192647
2021-07-31,37.065150694926736,47.780863728815106
2021-08-01,37.054455517193446,47.852984567699636
2021-08-02,37.04440470134519,47.92076027826071
2021-08-03,37.0349592901081,47.98445356125383
2021-08-04,37.05067670058747,47.87233932011597
2021-08-05,37.06544776988835,47.76697544814506
2021-08-06,37.07932964265714,47.66795432548061
2021-08-07,37.092375993555,47.57489308409796
2021-08-08,37.10463724021477,47.4874320887598
2021-08-09,37.11616074286728,47.40523351305723
2021-08-10,37.12699099150157,47.3279800043727
2021-08-11,37.13716978136406,47.255373432022004
2021-08-12,37.14673637754707,47.18713371322494
2021-08-13,37.15572766936535,47.12299771191741
2021-08-14,37.16417831517307,47.062718205754486
2021-08-15,37.172120878229116,47.00606291696584
2021-08-16,37.1795859541787,46.952813603014086
2021-08-17,37.186602290681044,46.902765203275436
2021-08-18,37.19319689967836,46.855725038210956
2021-08-19,36.912375224646816,47.04876082849772
2021-08-20,36.64843003215141,47.23019578653654
